id,price,model,mileage,motorcycle_class,year,engine_capacity,engine_strokes,damaged,documents,city,date
102,180 000₽,Honda CB 400SF VTEC-2,69 754 км,Классика,2002,400 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,17 октября
103,55 000₽,Stels Trigger 125,1 500 км,Мотард,2013,125 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,17 октября
104,60 000₽,Kayo,500 км,Питбайк,2018,155 куб. см.,4х тактный,Исправен,Есть ПТС,Жуковский,17 октября
105,110 000₽,Honda Transalp,72 000 км,Туристический,1995,400 куб. см.,4х тактный,Исправен,Есть ПТС,Лобня,16 октября
106,400 000₽,BMW F 800 R,31 500 км,Туристический,2013,800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,16 октября
107,625 000₽,Kawasaki ZR 1000E,786 км,Стритфайтер,2013,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,15 октября
108,160 000₽,Sym gts 300i EVO,50 000 км,None,2010,300 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,15 октября
109,445 000₽,MV Agusta,27 000 км,Стритфайтер,None,920 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,15 октября
110,215 000₽,Honda CRF 450R,115 км,Кроссовый,2013,450 куб. см.,4х тактный,Исправен,Без ПТС,Чехов,15 октября
111,250 000₽,Kawasaki ZZR 600 Ninja,12 000 км,Спорт-турист,2007,600 куб. см.,4х тактный,Исправен,Есть ПТС,Орехово-Зуево,14 октября
112,300 000₽,KTM 350 SX-F,None,Кроссовый,2013,350 куб. см.,4х тактный,Исправен,Без ПТС,Москва,14 октября
113,110 000₽,Suzuki Grass Tracker Big Boy 250,24 000 км,Классика,2001,250 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,14 октября
114,64 990₽,Минск,1 км,Классика,2018,125 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,13 октября
116,120 000₽,Kawasaki GPZ,52 000 км,Спорт-турист,1985,750 куб. см.,4х тактный,Исправен,Есть ПТС,Долгопрудный,12 октября
117,240 000₽,Honda X11,87 000 км,Классика,2001,1 100 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,12 октября
118,290 000₽,Honda Shadow Spirit,16 500 км,Чоппер,2007,750 куб. см.,4х тактный,Исправен,Есть ПТС,Истра,12 октября
119,160 000₽,Yamaha,30 000 км,Кастом,2002,600 куб. см.,4х тактный,Исправен,Есть ПТС,Фрязино,11 октября
120,360 000₽,Honda VFR 800F,30 840 км,Спорт-турист,2007,800 куб. см.,4х тактный,Исправен,Есть ПТС,Москва,11 октября
121,210 000₽,Honda CB 1300,45 176 км,Классика,2000,1 300 куб. см.,4х тактный,Исправен,Есть ПТС,Мытищи,10 октября
122,35 000₽,Kawasaki KSR110,10 000 км,Кастом,2004,110 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 9 октября
123,175 000₽,Yamaha XT 600,40 000 км,Эндуро,2000,600 куб. см.,None,Исправен,Есть ПТС,Дубна, 9 октября
124,215 000₽,Ducati Multistrada 1000,25 000 км,Спорт-турист,2003,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 8 октября
125,245 000₽,Avantis,1 км,Кроссовый,2018,250 куб. см.,4х тактный,Исправен,Без ПТС,Мытищи, 8 октября
126,53 000₽,Stels Flex 250,6 000 км,Классика,2014,225 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 8 октября
127,300 000₽,Suzuki Boulevard C50,34 000 км,Круизер,2007,800 куб. см.,4х тактный,Исправен,Есть ПТС,Железнодорожный, 7 октября
128,425 000₽,Kawasaki VN Vulcan 2000,18 000 км,Круизер,2004,2 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 6 октября
129,700 000₽,BMW S 1000 RR,45 000 км,Спортивный,2011,1 000 куб. см.,4х тактный,Исправен,Есть ПТС,Москва, 6 октября
